1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,label
0.0,0.0,0.0,0.0,85.76717032967034,169.86565517815518,224.37004114306745,236.5128982859246,316.40737880540513,250.2555930911194,197.29534681565573,157.62868014898908,186.70762751741012,186.70762751741012,186.70762751741012,173.95762751741012,186.70762751741012,212.20762751741012,216.47354180906814,230.6402084757348,279.9788073768337,236.5128982859246,196.03670780973414,130.19898851148852,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,32.9375,70.76717032967034,118.18822296124928,130.33108010410643,137.57539828592462,132.1663073768337,113.95202166254798,139.45202166254796,106.41558441558442,106.41558441558442,134.74891774891773,134.74891774891773,134.74891774891773,168.4540612895876,182.62072795625426,153.60287081339715,211.62004114306745,169.86565517815518,140.69898851148852,115.19898851148852,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,121.183836996337,196.03670780973414,268.3878982859246,286.6289507117596,154.83262751741012,194.7826275174101,154.30643704121965,154.30643704121965,154.30643704121965,156.24929418407677,197.33262751741012,200.12868014898908,266.89020847573477,304.81646971449607,256.24504114306745,140.69898851148852,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,38.313909774436084,83.41807644110276,118.63236215538848,130.22327124629757,136.41760323010323,128.50093656343657,112.56343656343657,118.74525474525475,126.03096903096903,134.74891774891773,145.37391774891776,147.2040612895876,134.95081453634086,177.45081453634086,163.2841478696742,199.07879072681706,322.4236125716389,322.4236125716389,309.00255994005994,204.39839327339328,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,88.27521929824562,138.2477467707731,138.2477467707731,159.4977467707731,208.17956495259128,268.3878982859246,253.3878982859246,253.3878982859246,237.4503982859246,220.4503982859246,202.23611257163887,217.23611257163887,197.62072795625426,197.62072795625426,213.55822795625426,230.55822795625426,224.37004114306745,183.28670780973414,157.78670780973414,121.183836996337,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,159.4977467707731,205.3574305652395,230.8574305652395,269.8157638985728,240.64909723190615,198.5405446003272,183.05840174318433,163.44301712779972,142.19301712779975,131.15405608883867,197.33262751741012,214.29534681565573,205.8125569605833,300.05131819934456,373.42361257163896,345.8358932733933,314.8983932733933,164.63690476190476,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,42.58771929824561,106.48950501253134,118.63236215538848,133.90115586168218,112.56343656343657,129.83221126699388,98.86792555270816,124.36792555270816,115.37754093732354,133.0858742706569,111.83587427065687,143.71087427065686,122.19209956709956,135.6131521986785,164.7798188653452,186.12640977443607,292.6736125716389,243.49504114306745,215.90732184482184,107.76148851148852,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,35.214285714285715,76.07967032967034,248.1038073768337,259.1907638985728,301.6907638985728,293.01516866047757,276.0151686604776,263.07983031461293,194.7826275174101,182.63977037455297,194.7826275174101,184.58262751741012,193.75368014898908,327.49433532714426,316.40737880540513,224.37004114306745,144.36565517815518,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,47.9375,98.51717032967034,156.9219891950155,191.19076389857284,186.81576389857284,179.3782638985728,163.3262588860415,175.58587427065686,167.0858742706569,192.8894456992283,212.20762751741012,200.12868014898908,189.04172362724995,203.2083902939166,206.61748120300751,227.41212406015038,292.6736125716389,266.50255994005994,215.90732184482184,124.76148851148852,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,40.33771929824562,67.48057644110276,100.41807644110276,118.63236215538848,149.83865586168218,130.33108010410643,125.98448919501551,146.0753982859246,127.86111257163888,136.5790612895876,103.18620414673046,161.37072795625429,126.04605263157895,141.04605263157896,193.41212406015038,180.66212406015038,279.9236125716389,215.90732184482184,200.90732184482184,136.09482184482184,0.0,0.0,0.0,0.0,0
